conceptId,term,RecordDate,code_list,cond_code,cond_description,cond_short,cond_abbreviation,icd10
190268003,Congenital hypothyroidism,20201104,cam_cprdcam_thy179_mc_v1_1_oct2018_snomedct,thy179,Thyroid disorders,Thyroid disorders,THY,E031
31186001,Chondroma,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,D160
430090006,Family history of neoplasm of brain (situation),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,Z848
230267005,Familial Alzheimer's disease of late onset,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,G301
275522008,Diabetes mellitus with gangrene,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E135
160428008,FH: Mother alive and well,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,#NIS
735599007,Erosion of joint surface co-occurrent and due to rheumatoid arthritis (disorder),20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M241
111479008,Organic mental disorder,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,G401D
111479008,Organic mental disorder,20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,E830D
190343002,Diabetes mellitus with ophthalmic manifestation,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E123D
421631007,Gangrene associated with type II diabetes mellitus (disorder),20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E115
200956002,Psoriatic arthritis with spine involvement,20201104,cam_cprdcam_rhe174_mc_v1_1_oct2018_snomedct,rhe174,"Rheumatoid arthritis, other inflammatory polyarthropathies & systematic connective tissue disorders",Rheumatoid arthritis,RHE,M072A
61104008,Inhalant-induced organic mental disorder,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F184
127014009,Diabetic peripheral angiopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E105D
190385003,Type 2 diabetes mellitus with renal complications,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,N083A
74732009,Mental disorder,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F079
194798004,Acute anteroapical infarction,20201104,cam_cprdcam_chd126_mc_v1_1_oct2018_snomedct,chd126,Coronary heart disease,Coronary heart disease,CHD,I210
237604008,Diabetes mellitus autosomal dominant type II,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E133
217710005,Congenital goitre,20201104,cam_cprdcam_thy179_mc_v1_1_oct2018_snomedct,thy179,Thyroid disorders,Thyroid disorders,THY,E000
191865004,Combined opioid with other drug dependence,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F192
46635009,Insulin dependent diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E100
190347001,Other specified diabetes mellitus with ophthalmic complications,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E133D
421249001,Malignant tumor of vermilion border of lip (disorder),20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M8000/3
312903003,Mild non proliferative diabetic retinopathy,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O249D
55009008,"Primary degenerative dementia of the Alzheimer type, senile onset, with delusions",20201104,cam_cprdcam_dem131_mc_v1_1_oct2018_snomedct,dem131,Dementia,Dementia,DEM,G301
187842004,Malignant tumour of supraglottis,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C321
269469005,Malignant neoplasm of soft tissue,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C488
711000119100,Diabetic stage 5 chronic renal impairment associated with type 2 diabetes mellitus,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,N185
14784000,Opioid-induced organic mental disorder,20201104,cam_cprdcam_psm173_mc_v1_1_oct2018_snomedct,psm173,Psychoactive substance misuse (NOT ALCOHOL),Psychoactive substance misuse (not alcohol),PSM,F115
197303009,Bacterial portal cirrhosis,20201104,cam_cprdcam_cld148_mc_v1_1_oct2018_snomedct,cld148,Chronic Liver Disease and Viral Hepatitis,Chronic Liver Disease,CLD,K746
26929004,Alzheimer's disease,20201104,cam_cprdcam_scz175_mc_v1_1_oct2018_snomedct,scz175,Schizophrenia (and related non-organic psychosis) or bipolar disorder,Schizophrenia,SCZ,G309D
310387003,Diabetic intracapillary glomerulosclerosis,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O244
32067005,Acute emphysematous cholecystitis,20201104,cam_cprdcam_cop151_mc_v1_1_oct2018_snomedct,cop151,COPD,COPD,COPD,K808
91861009,Acute myeloid leukemia,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,M9861/3
191981008,Psychogenic symptom of special sense organ,20201104,cam_cprdcam_anx140_mc_v1_1_oct2018_snomedct,anx140,"Anxiety & other neurotic, stress related & somatoform disorders",Anxiety,ANX,F458
190353001,Diabetes mellitus NOS with neurological manifestation,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,O241
441630004,Aphasia as late effect of cerebrovascular disease,20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I698
188192002,Malignant neoplasm of endometrium of corpus uteri,20201104,cam_cprdcam_can146_mc_v1_1_oct2018_snomedct,can146,Cancer - [New] Diagnosis in last five years,Cancer,CAN,C541
426788002,Vertigo as late effect of stroke (disorder),20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,I691
237621004,Diabetic severe hyperglycemia,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E137
237621004,Diabetic severe hyperglycemia,20201104,cam_cprdcam_dib128_mc_v1_1_oct2018_snomedct,dib128,Diabetes,Diabetes,DIA,E132
430959006,Paralytic syndrome of dominant side as late effect of stroke (disorder),20201104,cam_cprdcam_str130_mc_v1_1_oct2018_snomedct,str130,Stroke & transient ischaemic attack,Stroke & transient ischaemic attack,STR,G834
