snomed,id,on_id_register,id_severity,id_severity_lab
1089751000000100,1,null,4,severe
1089751000000106,1,null,4,severe
1089761000000100,1,null,4,severe
1089761000000109,1,null,4,severe
1089771000000100,1,null,4,severe
1089771000000102,1,null,4,severe
1089831000000100,1,null,2,mild
1089831000000105,1,null,2,mild
1089841000000100,1,null,2,mild
1089841000000101,1,null,2,mild
1089851000000100,1,null,2,mild
1089851000000103,1,null,2,mild
